id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2318,Casa Madrona - Urban Oasis 1 block from the park!,2536,Megan,Central Area,Madrona,47.61082,-122.29082,Entire home/apt,296,30,32,2020-02-01,0.21,1,107
9419,Glorious sun room w/ memory foambed,30559,Angielena,Other neighborhoods,Georgetown,47.55017,-122.31937,Private room,55,2,148,2019-12-27,1.15,7,328
9531,The Adorable Sweet Orange Craftsman,31481,Cassie,West Seattle,Fairmount Park,47.55539,-122.38474,Entire home/apt,155,30,41,2020-11-26,0.37,2,327
9534,The Coolest Tangerine Dream MIL!,31481,Cassie,West Seattle,Fairmount Park,47.55624,-122.38598,Entire home/apt,125,30,55,2020-12-28,0.50,2,204
9596,"the down home , spacious, central and fab!",14942,Joyce,Other neighborhoods,Wallingford,47.65479,-122.33652,Entire home/apt,100,4,97,2020-09-28,0.82,2,31
9909,Luna Lower - West Seattle,33360,Laura,West Seattle,Fairmount Park,47.56612,-122.37273,Entire home/apt,80,30,76,2021-02-09,0.55,6,200
10209,Cozy West Seattle Home,31553,Mike & Cassandra,Delridge,High Point,47.55365,-122.36326,Private room,45,5,41,2020-12-21,0.30,2,220
11012,"the orange house, quiet 'n central",14942,Joyce,Other neighborhoods,Wallingford,47.65448,-122.33646,Entire home/apt,295,3,96,2020-09-27,0.71,2,178
25002,"Beautiful, Private Spot in Quiet Ballard",102684,Amanda,Ballard,Whittier Heights,47.67941,-122.37054,Entire home/apt,73,2,836,2021-02-21,6.33,1,175
26795,Lake Union Cottage - Shore and City View,114228,Kelly,Cascade,Eastlake,47.63953,-122.32838,Entire home/apt,171,30,64,2020-03-07,0.50,1,364
30712,Cozy Ballard Apartment,107605,Al,Ballard,Loyal Heights,47.6789,-122.38186,Entire home/apt,67,30,97,2020-03-17,0.75,2,319
41401,Home Away From Home - MIL Suite,180441,Pina,Beacon Hill,Mid-Beacon Hill,47.56035,-122.31402,Entire home/apt,95,30,28,2017-05-06,0.22,1,52
