id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2441,"Cozy Artist’s Abode, NE Mpls - Pets, Wifi, Roku TV",2680,Emily,,Hennepin,45.00886,-93.23407,Entire home/apt,85,1,255,2021-02-15,1.85,2,0
4534,"Charming, 1 or 2BR + private bath, near downtown",5811,Rachel,,Hennepin,44.94566,-93.35721,Private room,49,2,166,2020-03-17,1.27,1,363
27319,"Parks, Lakes, Downtown, Light rail",117283,Keith,,Hennepin,44.91878,-93.23038,Private room,50,2,174,2020-10-04,1.38,2,364
55089,"Minneapolis/Edina ""Cabin"" on Creek",238546,Leslie,,Hennepin,44.91985,-93.35141,Entire home/apt,160,7,35,2021-01-01,0.33,2,235
60977,Attic Loft with organic breakfast,294621,Habib,,Ramsey,44.948,-93.19037,Entire home/apt,65,3,20,2016-08-07,0.17,1,235
68981,Guest Room,111098,Justin,,Hennepin,44.9073,-93.31865,Private room,170,1,0,,,1,0
82439,Rest and Rehearsal Space,117283,Keith,,Hennepin,44.92136,-93.22873,Private room,50,2,20,2020-03-22,0.17,2,364
153430,Two rooms and bath - centrally located,86984,Nan & Scott,,Hennepin,44.92883,-93.27819,Private room,85,2,72,2019-10-13,0.61,1,364
166927,Victory Memorial Pkwy Tudor home close to downtown,795329,Shannyn,,Hennepin,45.01591,-93.3196,Private room,125,2,44,2016-01-21,0.42,1,178
176709,"Private Bedroom, Walk to Saint Paul Campus!",688403,Delia,,Ramsey,44.97611,-93.18981,Private room,75,2,21,2019-10-12,0.22,3,365
178017,Powderhorn home - sleeps four,540710,Leticia,,Hennepin,44.94204,-93.24949,Entire home/apt,60,2,24,2019-07-07,0.32,1,120
195230,Victorian on transit line. Your own private floor.,949211,Lydia,,Ramsey,44.94723,-93.17278,Private room,50,1,181,2021-02-15,4.88,4,138
317499,The Manor Master Chamber,1233357,Sean,,Ramsey,44.96943,-93.11304,Private room,78,1,254,2020-12-21,2.34,1,0
322640,"Charming, sweet Uptown Minneapolis apartment!",119095,Alison,,Hennepin,44.94303,-93.2943,Entire home/apt,85,5,170,2021-02-15,1.55,1,224
419915,Arts & Crafts condo with amenities,1181252,David,,Hennepin,44.93788,-93.28886,Private room,60,3,61,2019-06-26,0.57,1,179
420080,S&J#15U~3BR Walk to all! 33% Off Jan-Mar,1207842,Scott & Jenna,,Hennepin,44.95823,-93.29276,Entire home/apt,337,2,35,2018-10-21,0.33,27,277
436553,S&J#19~5BR3ba VALUE! Blaine 2NE!11%offJuly/Aug,1207842,Scott & Jenna,,Anoka,45.04191,-93.24899,Entire home/apt,466,2,0,,,27,278
494990,Unfurnished Edina long term rental,1258715,Patty,,Hennepin,44.86782,-93.33241,Entire home/apt,50,180,11,2015-09-01,0.10,1,358
505750,Linden Hills 4-BR/3-bath home,1950187,Katie,,Hennepin,44.9287,-93.31029,Entire home/apt,282,7,224,2020-08-24,2.98,2,105
544048,COZY RETREAT |  bright + comfortable + relaxing,937861,Jennie And Henry,,Hennepin,44.91959,-93.27388,Entire home/apt,125,2,85,2021-02-05,0.81,1,265
573749,Minneapolis/St Paul White Bear Lake,209634,Mike And Maria,,Washington,45.05689,-92.96201,Entire home/apt,125,2,0,,,1,358
609640,BEAUTIFUL LAKE HARRIET CONDO #106,3022975,Janene,,Hennepin,44.92447,-93.31469,Entire home/apt,55,20,2,2021-02-01,0.09,6,230
634973,Balcony View of Minnehaha Creek,238546,Leslie,,Hennepin,44.92062,-93.3509,Private room,125,2,7,2019-07-31,0.09,2,363
645053,Beautiful Bedroom in Upscale Home,3139588,Teri,,Hennepin,44.95987,-93.44022,Private room,40,365,25,2015-03-06,0.26,1,358
647864,Finca en La Ciudad Farm in the City,889295,Gregory,,Hennepin,44.95319,-93.22821,Private room,45,2,158,2019-10-27,1.55,1,364
649448,Charlie Chaplin at The Outing Lodge,3136568,Carlota,,Washington,45.119,-92.84833,Private room,113,3,1,2015-12-26,0.02,3,364
652550,Albert Einstein at The Outing Lodge,3136568,Carlota,,Washington,45.11704,-92.84772,Private room,113,3,0,,,3,365
690032,The Berg House-Elegant City Living,3524969,Svein,,Ramsey,44.94488,-93.12915,Entire home/apt,170,2,52,2021-01-16,0.54,1,356
697236,Beautiful House rental,3505142,Tang,,Hennepin,44.87676,-93.28388,Private room,40,1,68,2020-02-01,0.67,1,327
741701,Linden Hills Guest Home,3882563,Julie,,Hennepin,44.92112,-93.32223,Entire home/apt,129,2,70,2020-07-31,0.80,2,0
746358,Beautiful Urban Garden Walkout,3905670,Dennie & Kevin,,Hennepin,44.97199,-93.30631,Entire home/apt,141,2,276,2021-02-14,3.25,1,337
752413,Summer Cabin -- Winter Ski Chalet,3718783,Robin,,Washington,44.89864,-92.78765,Entire home/apt,124,30,55,2021-01-31,0.55,1,129
764514,S&J#29Z-12BR4ba5BuslinesDTownNEUniv,1207842,Scott & Jenna,,Anoka,45.04192,-93.24863,Entire home/apt,789,2,0,,,27,276
783996,Memorable Holiday Gather Wayzata Lakefront Estate,4134260,May And Henry,,Hennepin,44.97588,-93.49115,Entire home/apt,689,4,33,2020-08-24,0.84,1,242
799661,Modern Downtown St. Paul Loft,1172692,Jodi,,Ramsey,44.94999,-93.09821,Entire home/apt,99,120,13,2020-10-18,0.14,1,326
862153,Our Studio,4518528,Mary,,Wright,45.29343,-93.75288,Entire home/apt,79,2,115,2021-01-30,1.95,1,219
881006,Rest & Play-Whole Bear House,4660799,Jessica,,Anoka,45.19633,-93.38801,Entire home/apt,192,2,18,2021-02-15,0.20,4,223
892733,Momma Bear Room,4660799,Jessica,,Anoka,45.19526,-93.38623,Private room,95,2,10,2020-05-17,0.11,4,222
892771,Papa Bear Room,4660799,Jessica,,Anoka,45.19578,-93.38603,Private room,87,2,17,2020-05-17,0.17,4,222
968153,Less than a hotel! Amenities plus covered parking!,5283270,Lisa,,Hennepin,44.85627,-93.43289,Entire home/apt,100,7,1,2014-01-10,0.01,23,33
979882,Urban Retreat-Near UofM + Downtown,5363505,Vicki,,Hennepin,44.95479,-93.216,Private room,75,1,99,2020-03-11,1.02,1,296
1004244,Bungalow by the Lakes Fulton,5506919,Jennifer,,Hennepin,44.9114,-93.32154,Entire home/apt,250,2,20,2020-08-16,0.24,1,64
1013151,Private room in Shakopee,5152043,Eric,,Scott,44.78734,-93.53358,Private room,350,1,0,,,1,0
1042159,Dreamy Chic Apartment,5737255,Sarina,,Ramsey,44.95422,-93.14299,Entire home/apt,85,6,109,2020-03-15,1.17,1,148
1058209,Uptown Brownstone with Parking,1462147,Faith,,Hennepin,44.94889,-93.30098,Entire home/apt,153,2,32,2020-09-15,0.35,1,365
1075404,Charming Condo Brownstone 2 Bedroom,4208173,Salle,,Hennepin,44.94674,-93.24886,Entire home/apt,155,3,21,2021-01-04,0.22,6,365
1075439,Contemporary Urban Condo 1 Bedroom,4208173,Salle,,Hennepin,44.94674,-93.24886,Entire home/apt,135,3,23,2020-12-18,0.25,6,269
1090512,Arts/Crafts house near Lake Harriet,5968312,Tom,,Hennepin,44.92677,-93.28337,Private room,75,2,37,2019-10-08,0.40,1,363
1187285,Minutes from Uptown and Downtown Mpls,6492183,Ross,,Hennepin,44.95303,-93.2579,Private room,55,3,16,2019-05-19,0.17,3,304
1236594,Lovely 3BD Near Parks & Downtown,6742086,Eliza,,Hennepin,44.96967,-93.29522,Entire home/apt,119,1,135,2021-01-17,1.44,2,15
1256215,9 Miles to US Bank Stadium (Super Bowl Location :),631231,Katherine,,Ramsey,45.00996,-93.10923,Entire home/apt,300,3,29,2017-09-05,0.31,1,364
1259628,Minneapolis Home Near US Bank Stadium & River,6859534,Ashley,,Hennepin,44.96068,-93.21243,Entire home/apt,1450,3,1,2018-02-05,0.03,1,90
1262108,Pvt 2-bed apartment close to downtown!,589916,Randy,,Hennepin,44.99713,-93.28618,Private room,75,2,168,2021-01-22,1.82,1,365
1293792,Sunny Studio just south of downtown,2286342,Susan,,Hennepin,44.95841,-93.26877,Private room,65,2,103,2020-01-16,1.26,1,177
1349064,Uptown - North Woods Vibes in the ❤ of MPLS,7319271,Philip,,Hennepin,44.94093,-93.28732,Entire home/apt,69,1,171,2021-02-06,2.99,1,300
1408265,Ritz-Like Serenity On Lake Calhoun!,5425203,Robert,,Hennepin,44.94974,-93.32016,Entire home/apt,229,5,12,2016-10-02,0.13,1,358
1466436,"10min from MoA, free parking, quiet",7854843,Brian,,Dakota,44.72204,-93.22327,Private room,100,1,0,,,1,0
1489707,"A warm, homey place to rest",7966297,Jennifer,,Hennepin,44.89237,-93.25633,Private room,90,1,0,,,1,88
